year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_blocks_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,award_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,Usability_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_7,GS,PF,POSITION_METRIC,Usability,assists,award,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
8,0,0.86,0,0.0,0.0,0.0,0.44,0.58,0.35,0.42,0.43,0.55,0.55,0.36,0.47,0.41,0.63,0.48,0.52,0.41,0.38,0.71,0.52,0.6,0.6,0.55,0.49,0.63,0.78,0.71,0.79,0.19,0.43,0.56,0.36,0.72,1.0,0.64,0.0,0.04,0.96,0.12,0.88,0.08,0.92,0.12,0.88,CHI,1.51,1.48,14.53,540.84,190.45,26.98,54.98,81.96,41.75,22.67,10.0,37.75,52.69,177.39,70.7,51.28,36.84,41.89,190.45,81.96,41.75,10.0,22.67,37.75,0.37,0.67,0.0,6.84,3.01,1.66,0.38,0.87,1.47,0.52,0.27,0.0,1.9,0.36,8.59,3.76,0.89,1.61,0.39,0.72,29.36,21.55,70.26,0.35,0.6,55.28,0.0,10.94,72.6,0.43,222.65,92.26,89.88,66.95,728.47,40.3,261.22,112.91,26.74,32.27,9.76,57.0,11.25,268.51,117.02,27.07,48.47,46.79
9,0,0.76,0,0.0,0.0,0.0,0.53,0.68,0.43,0.55,0.52,0.56,0.63,0.54,0.64,0.61,0.55,0.43,0.47,0.35,0.48,0.7,0.59,0.52,0.47,0.49,0.41,0.63,0.75,0.69,0.71,0.47,0.34,0.64,0.45,0.68,1.0,0.82,0.03,0.27,0.73,0.25,0.75,0.39,0.61,0.21,0.79,CHI,1.51,1.48,16.18,592.91,220.91,32.13,66.31,98.44,48.95,22.95,10.35,41.93,51.93,198.98,81.37,64.22,44.46,42.02,220.91,98.44,48.95,10.35,22.95,41.93,0.38,0.68,0.07,8.41,3.72,1.84,0.35,0.83,1.6,0.57,0.38,0.67,1.84,0.4,8.58,4.31,0.97,1.55,0.39,0.72,28.03,18.87,58.96,0.42,0.59,54.29,0.14,12.48,82.92,0.31,216.54,92.87,84.91,57.93,689.11,43.14,250.36,126.06,26.87,19.72,6.68,55.37,12.64,254.34,128.45,27.01,46.59,45.62
10,0,0.67,0,0.0,0.0,0.0,0.53,0.58,0.56,0.69,0.37,0.4,0.59,0.56,0.64,0.57,0.54,0.44,0.49,0.46,0.48,0.64,0.59,0.5,0.45,0.44,0.42,0.59,0.68,0.62,0.59,0.53,0.37,0.57,0.42,0.63,1.0,0.79,0.03,0.29,0.71,0.34,0.66,0.31,0.69,0.35,0.65,CHI,1.51,1.48,17.61,645.41,246.87,35.26,73.78,109.04,52.89,25.7,13.16,45.5,56.73,213.46,90.64,76.62,53.8,35.84,246.87,109.04,52.89,13.16,25.7,45.5,0.4,0.68,0.03,8.64,3.87,1.82,0.47,0.88,1.62,0.57,0.37,0.33,1.65,0.61,8.33,4.0,0.88,1.62,0.41,0.71,27.03,16.02,51.18,0.33,0.55,47.69,0.01,15.31,76.79,0.39,204.17,88.07,69.78,50.56,623.01,31.59,235.31,108.39,24.04,26.22,8.6,48.82,15.35,238.44,109.9,24.35,44.78,43.98
11,0,0.63,0,0.0,0.0,0.0,0.55,0.56,0.57,0.63,0.44,0.42,0.48,0.58,0.61,0.54,0.49,0.39,0.51,0.47,0.51,0.7,0.61,0.47,0.41,0.5,0.5,0.56,0.65,0.59,0.66,0.48,0.42,0.5,0.4,0.67,1.0,0.75,0.03,0.36,0.64,0.48,0.52,0.28,0.72,0.39,0.61,CHI,1.51,1.48,17.81,649.65,250.82,33.44,76.42,109.85,52.31,25.41,13.9,46.51,55.91,213.46,91.68,74.34,53.87,38.07,250.82,109.85,52.31,13.9,25.41,46.51,0.41,0.72,0.02,8.57,3.85,1.75,0.49,0.86,1.64,0.56,0.36,0.2,1.41,0.65,8.19,4.51,0.71,1.83,0.44,0.71,27.03,18.16,60.4,0.31,0.55,39.14,0.01,16.49,86.86,0.65,177.81,80.71,68.03,47.8,623.0,33.39,222.6,120.25,18.95,35.59,13.39,41.09,17.04,230.45,125.29,19.46,50.72,49.04
2,0,0.14,1,1.0,0.5,0.0,0.34,0.12,0.28,0.24,0.36,0.34,0.42,0.17,0.27,0.51,0.55,0.39,0.57,0.18,0.27,0.26,0.09,0.35,0.28,0.14,0.12,0.06,0.08,0.0,0.51,0.65,0.72,0.62,0.18,0.27,0.0,0.16,0.4,0.55,0.45,0.8,0.2,0.25,0.75,0.64,0.35,CLE,3.0,3.0,17.54,644.78,223.63,33.06,59.98,93.04,52.1,24.84,8.84,50.43,63.77,186.38,83.43,56.44,42.47,40.37,259.1,113.79,61.34,10.12,29.88,58.34,0.43,0.73,0.09,9.29,3.85,2.08,0.36,1.03,2.04,0.57,0.29,1.0,1.81,0.38,9.08,3.89,1.04,1.88,0.44,0.74,27.71,15.21,65.71,0.29,0.56,45.19,0.0,9.22,60.33,0.87,183.2,82.3,56.8,42.68,628.06,33.86,219.14,94.19,25.27,34.74,11.87,52.35,10.45,252.16,114.38,30.02,53.89,47.23
3,0,0.05,0,0.67,0.17,0.0,0.27,0.07,0.17,0.14,0.25,0.26,0.32,0.27,0.3,0.43,0.31,0.42,0.29,0.15,0.18,0.09,0.08,0.12,0.09,0.18,0.19,0.13,0.07,0.02,0.27,0.38,0.36,0.48,0.34,0.09,0.0,0.08,0.43,0.68,0.32,0.84,0.15,0.47,0.53,0.72,0.28,CLE,1.67,2.33,17.47,637.45,208.76,30.87,63.88,94.75,49.8,25.76,8.15,44.54,56.07,179.81,79.15,53.63,40.05,31.78,233.07,107.42,56.37,9.42,28.99,49.49,0.43,0.69,0.03,8.41,3.8,1.93,0.36,0.99,1.75,0.57,0.28,0.33,1.87,0.39,9.17,4.41,1.12,1.81,0.45,0.71,29.35,18.05,65.64,0.31,0.6,50.79,0.0,9.79,76.37,0.48,208.14,94.19,61.84,46.22,718.81,38.86,243.18,115.23,30.42,27.63,8.58,56.59,11.41,272.27,130.26,34.03,53.72,48.1
4,0,0.45,1,0.33,0.08,0.0,0.25,0.09,0.23,0.17,0.26,0.27,0.28,0.31,0.32,0.37,0.31,0.3,0.24,0.14,0.18,0.2,0.13,0.16,0.13,0.23,0.24,0.1,0.13,0.06,0.38,0.35,0.33,0.31,0.31,0.19,0.0,0.16,0.44,0.47,0.53,0.52,0.48,0.45,0.55,0.51,0.49,CLE,0.83,1.17,18.72,681.79,226.76,32.27,70.99,103.26,51.03,25.18,8.54,45.94,58.36,195.62,84.83,59.14,45.22,36.02,238.92,109.59,54.32,9.18,26.79,48.41,0.41,0.73,0.02,8.3,3.8,1.85,0.33,0.92,1.69,0.59,0.3,0.17,1.99,0.26,8.89,3.99,0.94,1.87,0.4,0.74,26.83,18.03,57.38,0.3,0.6,51.52,0.01,7.07,73.17,0.71,214.09,89.22,63.76,47.81,676.34,33.39,242.08,106.57,25.41,47.11,15.84,55.34,7.43,253.1,112.73,26.98,49.58,47.7
2,0,0.29,0,0.5,0.0,0.0,0.39,0.23,0.19,0.19,0.38,0.37,0.37,0.17,0.26,0.28,0.35,0.37,0.34,0.44,0.29,0.44,0.32,0.14,0.1,0.31,0.3,0.46,0.27,0.28,0.5,0.41,0.45,0.42,0.27,0.36,0.0,0.16,0.3,0.5,0.5,0.67,0.33,0.34,0.66,0.64,0.35,CON,1.0,2.0,22.91,820.16,296.22,40.49,78.54,119.03,62.63,32.99,15.86,58.82,68.3,253.3,112.62,68.44,50.34,58.56,318.2,129.15,67.89,17.64,35.15,63.82,0.42,0.74,0.0,10.13,4.14,2.2,0.55,1.13,2.07,0.66,0.43,0.0,2.44,0.7,10.12,4.74,1.28,2.24,0.43,0.72,30.22,23.62,76.26,0.49,0.67,70.25,0.0,20.06,89.74,0.66,248.98,110.85,81.03,58.49,838.12,46.35,296.47,136.09,37.74,45.98,16.29,75.44,22.13,318.19,148.29,40.31,69.46,64.36
3,0,0.48,0,0.17,0.0,0.0,0.3,0.23,0.26,0.25,0.46,0.49,0.48,0.19,0.31,0.24,0.47,0.6,0.47,0.42,0.25,0.36,0.22,0.25,0.25,0.32,0.28,0.34,0.25,0.22,0.5,0.31,0.6,0.54,0.3,0.34,0.0,0.11,0.3,0.42,0.58,0.62,0.38,0.23,0.77,0.49,0.51,CON,0.33,0.67,21.07,764.21,270.88,41.01,72.99,114.0,56.38,36.21,14.51,57.49,67.29,233.9,99.1,69.88,51.83,61.67,278.2,117.37,58.13,15.1,36.93,59.16,0.41,0.73,0.0,9.14,3.83,1.93,0.49,1.23,1.97,0.63,0.39,0.0,1.85,0.44,9.73,4.13,1.16,1.98,0.41,0.74,27.57,20.42,65.91,0.41,0.65,49.68,0.0,12.19,74.24,0.57,232.12,99.85,63.96,47.44,740.56,39.4,267.87,113.63,31.99,62.53,20.73,51.64,12.74,277.61,117.26,32.68,55.44,53.45
4,0,0.52,1,0.08,0.0,0.0,0.32,0.23,0.37,0.34,0.42,0.46,0.43,0.17,0.27,0.21,0.54,0.59,0.34,0.37,0.29,0.35,0.21,0.35,0.36,0.32,0.26,0.43,0.28,0.28,0.47,0.36,0.48,0.56,0.29,0.36,0.0,0.15,0.29,0.46,0.54,0.61,0.39,0.32,0.68,0.57,0.43,CON,0.17,0.33,18.99,699.32,250.97,35.06,65.6,100.66,52.23,33.19,11.87,50.63,63.37,213.62,90.21,69.2,52.28,55.37,254.63,102.35,53.1,12.17,33.55,51.46,0.41,0.74,0.0,9.01,3.69,1.85,0.45,1.21,1.83,0.63,0.4,0.0,2.11,0.39,9.42,4.17,1.37,1.82,0.42,0.74,28.03,21.48,67.49,0.44,0.68,61.23,0.04,10.43,74.94,0.53,225.8,94.92,69.71,52.81,763.56,38.31,261.24,113.25,38.58,57.92,18.59,62.45,10.61,265.02,115.2,39.04,51.48,50.61
5,0,0.43,1,0.45,0.2,0.0,0.37,0.33,0.39,0.38,0.46,0.51,0.43,0.33,0.4,0.31,0.56,0.53,0.25,0.35,0.34,0.39,0.32,0.41,0.4,0.35,0.35,0.48,0.43,0.4,0.5,0.43,0.43,0.47,0.22,0.42,0.4,0.4,0.26,0.5,0.5,0.59,0.41,0.41,0.59,0.52,0.48,CON,0.9,1.0,20.18,732.98,266.68,35.47,73.54,109.01,57.98,32.36,11.9,50.09,66.34,227.55,95.62,73.86,55.64,59.88,281.89,114.93,61.7,12.63,33.94,52.39,0.41,0.73,0.0,9.38,3.86,2.01,0.44,1.15,1.75,0.62,0.41,0.0,1.89,0.5,10.27,4.66,1.3,1.7,0.43,0.75,29.49,21.72,74.82,0.5,0.67,54.33,0.03,13.86,86.87,0.76,252.23,108.31,68.03,51.73,783.0,42.84,287.83,129.71,36.67,57.03,19.49,57.38,14.48,303.92,136.14,38.15,50.28,48.35
6,0,0.29,1,0.63,0.47,0.17,0.41,0.36,0.36,0.35,0.44,0.48,0.41,0.38,0.43,0.41,0.52,0.56,0.25,0.3,0.36,0.41,0.33,0.38,0.37,0.33,0.29,0.4,0.45,0.39,0.54,0.41,0.38,0.45,0.25,0.42,0.6,0.53,0.27,0.51,0.49,0.58,0.42,0.46,0.54,0.59,0.41,CON,2.27,1.67,21.39,770.88,278.17,36.35,79.14,115.48,62.25,34.3,12.18,51.99,68.19,239.15,101.47,74.72,55.53,60.1,311.74,129.68,69.71,13.57,38.61,57.85,0.42,0.74,0.04,9.99,4.18,2.22,0.44,1.25,1.87,0.63,0.41,0.33,2.44,0.76,10.38,4.68,1.25,2.08,0.42,0.77,31.28,22.95,76.99,0.44,0.64,66.59,0.0,22.34,94.25,0.58,244.98,105.69,77.29,57.85,814.75,38.71,287.49,132.97,34.56,55.15,18.25,77.54,24.31,330.68,149.08,39.58,65.95,58.64
7,0,0.2,1,0.74,0.62,0.4,0.45,0.37,0.41,0.4,0.4,0.43,0.4,0.45,0.48,0.47,0.51,0.47,0.23,0.34,0.39,0.41,0.37,0.37,0.36,0.28,0.26,0.42,0.45,0.39,0.49,0.46,0.39,0.38,0.2,0.4,0.71,0.56,0.28,0.61,0.39,0.65,0.35,0.57,0.43,0.62,0.38,CON,3.05,2.05,21.87,785.59,290.43,36.96,83.75,120.72,64.95,33.34,12.9,52.16,68.75,245.39,106.3,78.74,58.96,56.62,335.38,140.31,73.94,15.32,38.42,59.85,0.42,0.72,0.07,10.53,4.43,2.31,0.49,1.22,1.9,0.63,0.41,0.52,2.6,0.74,11.8,5.0,1.26,2.14,0.43,0.72,30.52,24.68,74.17,0.45,0.66,72.73,0.05,20.66,98.38,0.41,272.05,120.66,89.48,67.93,840.29,39.48,326.9,137.87,34.72,51.92,17.65,84.08,23.69,382.46,160.64,40.53,68.67,58.94
8,0,0.15,1,0.8,0.59,0.3,0.51,0.44,0.47,0.42,0.43,0.45,0.42,0.59,0.59,0.56,0.43,0.44,0.29,0.4,0.46,0.47,0.46,0.3,0.3,0.3,0.3,0.46,0.48,0.43,0.48,0.46,0.42,0.37,0.21,0.43,0.79,0.59,0.3,0.67,0.33,0.69,0.31,0.64,0.36,0.67,0.33,CON,3.04,2.04,21.37,766.17,291.77,37.01,87.32,124.34,65.3,32.08,13.77,51.92,64.59,244.39,106.78,77.63,59.28,56.13,334.95,144.3,74.13,16.31,36.67,59.6,0.42,0.74,0.09,10.6,4.57,2.35,0.52,1.17,1.89,0.61,0.42,0.64,2.42,0.6,10.19,4.3,1.07,1.89,0.42,0.74,30.05,20.87,64.05,0.42,0.59,67.76,0.05,17.04,87.75,0.19,238.26,103.4,72.92,57.66,742.85,31.45,283.3,119.2,29.58,55.2,18.84,76.34,19.4,323.11,135.34,33.73,59.84,51.84
9,0,0.16,1,0.77,0.48,0.25,0.58,0.54,0.47,0.42,0.47,0.49,0.45,0.68,0.67,0.64,0.45,0.44,0.36,0.46,0.52,0.54,0.54,0.32,0.31,0.31,0.32,0.44,0.55,0.48,0.52,0.45,0.39,0.4,0.18,0.49,0.89,0.68,0.32,0.66,0.34,0.63,0.37,0.69,0.31,0.63,0.37,CON,2.71,2.11,21.14,755.62,296.67,36.53,88.88,125.41,67.6,31.79,13.99,52.84,63.68,249.81,109.18,76.53,58.98,57.82,338.39,144.82,76.31,16.37,36.06,60.48,0.42,0.75,0.07,10.73,4.6,2.41,0.52,1.15,1.92,0.6,0.42,0.54,2.5,0.26,9.86,3.89,1.0,2.05,0.42,0.76,31.72,18.52,66.98,0.37,0.57,73.42,0.0,7.5,80.6,0.36,238.7,103.3,81.09,63.18,739.13,33.4,285.32,114.0,30.06,49.44,15.54,80.99,8.4,319.59,125.84,32.21,65.88,58.81
